"","X","Scenario","id","Choice","submitdate","startlanguage","startdate","Gender","Age","MaritalStatus","Occupation","Occupation.other.","Education","Householdsize","IncomeLevel","CityCountry","Nationality","DriversLicense","Carownership","ModeOfTransport.SQ001.","ModeOfTransport.SQ002.","ModeOfTransport.SQ003.","ParkingCosts.SQ001.","CongestionCosts.SQ001.","LowIncLikert.SQ001.","AffordableTrLikert.SQ001.","Resources","interviewtime","Time_Group1","Time_Group2","Time_Group3","Time_Group4","DailyTravelCost.Alt1","DelayOfTravel.Alt1","PeopleBenefiting.Alt1","CongestionReduction.Alt1","DailyTravelCost.Alt2","DelayOfTravel.Alt2","PeopleBenefiting.Alt2","CongestionReduction.Alt2","DailyTravelCost.Alt3","DelayOfTravel.Alt3","PeopleBenefiting.Alt3","CongestionReduction.Alt3","RR_Total","percent_RR_Total","RR_Gr2","RR_Gr3","RR_Gr4"
"1",1,"S17","0223551_10","Alt3","1/27/2019 23:05","en","1/27/2019 22:56","Male","18-24 years","Single","student (university)","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",">4","20,000-30,000 €","Melbourne Australia ","Australian ","No","no","Public Transport","Carsharing","Carsharing",1,1,1,5,"Equally per capita",523.56,102.64,31.1,326.93,62.89,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"2",10,"S17","0223551_100","Alt3","1/31/2019 10:12","en","1/31/2019 10:10","Male","30-39 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","60000-70000 €","Munich Germany ","Indian","No","no","Public Transport","Public Transport","Public Transport",5,5,5,5,"",159.77,53.74,18.77,24.95,62.31,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,1,1,0
"3",20,"S17","0223551_101","Alt3","1/31/2019 10:33","en","1/31/2019 10:26","Male","50-64 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","5,000-10,000 €","Berlin","German","Yes","yes, a privately owned/leased car","Public Transport","Bike","Car",4,4,2,2,"",428.1,144.74,58.9,159.51,64.95,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"4",12,"S17","0223551_102","Alt2","2/1/2019 13:42","en","2/1/2019 13:40","Male","30-39 years","Single","Employed - half-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","5,000-10,000 €","Munich, germany","Iranian","No","no","Public Transport","Public Transport","Public Transport",5,5,4,4,"",149.3,53,40.95,27.43,27.92,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,0,1,1
"5",39,"S17","0223551_103","Alt2","2/1/2019 13:55","en","2/1/2019 13:47","Male","30-39 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","1","0-5,000 €","Bonn ","","Yes","no","Public Transport","Public Transport","Public Transport",2,2,4,4,"Based on some measure of need",443.69,105.89,45.25,212.61,79.94,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"6",4,"S17","0223551_104","Alt3","2/1/2019 15:40","en","2/1/2019 15:28","Male","30-39 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","10,000-20,000 €","Athens, Greece","Greek","Yes","yes, a privately owned/leased car","Car","Car","Car",5,3,5,2,"",690.49,94,50.12,486.49,59.88,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"7",49,"S17","0223551_105","Alt2","2/1/2019 17:49","en","2/1/2019 17:43","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","0-5,000 €","Munich ","Turkish ","Yes","no","Public Transport","Public Transport","Carsharing",5,5,5,1,"Equally per capita",356.19,64.46,28.09,221.99,41.65,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,1,33.3333333333333,0,0,1
"8",21,"S17","0223551_106","Alt2","2/1/2019 18:32","en","2/1/2019 18:26","Male","18-24 years","Single","student (university)","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","1","5,000-10,000 €","Munich, Germany","Albanian","No","no","Public Transport","Public Transport","Public Transport",5,1,1,3,"Equally per capita",337.02,44.81,15.64,239.61,36.96,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,2,66.6666666666667,1,0,1
"9",30,"S17","0223551_107","Alt1","2/1/2019 19:25","en","2/1/2019 19:16","Male","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","30,000-40,000 €","Munich, Germany","Russian","Yes","no","Bike","Bike","Bike",3,3,4,2,"Based on some measure of need",527,53.11,31.37,290.68,151.84,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
"10",37,"S17","0223551_108","Alt2","2/2/2019 19:01","en","2/2/2019 17:26","Male","25-29 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","4","5,000-10,000 €","Guwahati, India","Indian","No","no","Public Transport","Bike","Bike",5,5,5,5,"Based on some measure of need",5705.14,5016.31,72.57,475.46,140.8,0,0.2,0.15,0.15,3,0,0,0.15,0,0,0,0,0,0,0,0,0
