,Scenario,id,Choice,submitdate,startlanguage,startdate,Gender,Age,MaritalStatus,Occupation,Occupation.other.,Education,Householdsize,IncomeLevel,CityCountry,Nationality,DriversLicense,Carownership,ModeOfTransport.SQ001.,ModeOfTransport.SQ002.,ModeOfTransport.SQ003.,ParkingCosts.SQ001.,CongestionCosts.SQ001.,LowIncLikert.SQ001.,AffordableTrLikert.SQ001.,Resources,interviewtime,Time_Group1,Time_Group2,Time_Group3,Time_Group4,DailyTravelCost.Alt1,DelayOfTravel.Alt1,PeopleBenefiting.Alt1,CongestionReduction.Alt1,DailyTravelCost.Alt2,DelayOfTravel.Alt2,PeopleBenefiting.Alt2,CongestionReduction.Alt2,DailyTravelCost.Alt3,DelayOfTravel.Alt3,PeopleBenefiting.Alt3,CongestionReduction.Alt3
633,S1,0359383_61,Alt2,1/28/2019 16:09,en,1/28/2019 16:02,Female,30-39 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),4,I prefer not to answer,"Indianapolis, United States",American,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,2,3,2,Based on some measure of need,456.51,57.99,17.7,310.09,70.73,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
634,S1,0359383_35,Alt1,1/28/2019 13:54,en,1/28/2019 12:54,Male,30-39 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),4,"20,000-30,000 €","Cairo, Egyot",Egyptian ,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,4,5,4,Based on some measure of need,336.47,62.6,19.76,199.95,54.16,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
635,S1,0359383_73,Alt2,1/28/2019 20:02,en,1/28/2019 19:45,Male,30-39 years,Married,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),4,"10,000-20,000 €","Cairo, Egypt ???????? ",Egyptian ,Yes,"yes, a privately owned/leased car",Public Transport,Car,Car,3,2,4,2,Based on some measure of need,1041.99,181.63,42.63,490.89,326.84,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
636,S1,0359383_95,Alt2,2/6/2019 22:48,en,2/6/2019 22:43,Male,18-24 years,Single,student (university),,"High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",>4,"0-5,000 €",Munich,German,Yes,no,Public Transport,Public Transport,Bike,4,1,4,2,Based on some measure of need,336.8,59.79,31.49,193.38,52.14,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
637,S1,0359383_92,Alt2,2/2/2019 10:29,en,2/2/2019 10:24,Male,25-29 years,Single,Employed - full-employed,,Graduate degree (MSc / PhD / etc.),1,60000-70000 €,"Munich, Germany",Indian,No,no,Public Transport,Public Transport,Public Transport,5,5,4,2,Equally per capita,311.71,69.56,17.91,188.07,36.17,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
638,S1,0359383_21,Alt3,1/28/2019 11:01,en,1/28/2019 10:56,Male,30-39 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),4,I prefer not to answer,Egypt,Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,3,5,3,Based on some measure of need,316.44,104.7,36.85,86.56,88.33,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
639,S1,0359383_75,Alt2,1/28/2019 22:01,en,1/28/2019 21:35,Male,40-49 years,Married,Employed - full-employed,,University degree (Fachhochschul-/Universitätsabschluss),4,I prefer not to answer,"kuwait city , kuwait",Egyptian,Yes,"yes, a privately owned/leased car",Car,Car,Walking,1,1,5,5,Based on some measure of need,1588.63,282.86,65.74,903.77,336.26,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
640,S1,0359383_67,Alt2,1/28/2019 18:14,en,1/28/2019 18:05,Female,30-39 years,Married,housewife/househusband,,"High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",>4,"50,000-60000 €","Corona, California, United States",American/white,Yes,"yes, a privately owned/leased car",Car,Car,Car,3,1,4,3,Based on some measure of need,520.76,132.49,20.83,310.38,57.06,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
641,S1,0359383_76,Alt2,1/28/2019 23:47,en,1/28/2019 23:41,Female,40-49 years,Married,unemployed,,University degree (Fachhochschul-/Universitätsabschluss),2,"30,000-40,000 €",Fredericton Canada,"Scottish & French
Canadian born and raised.",Yes,"yes, a privately owned/leased car",Car,Car,Walking,5,1,1,5,Equally per capita,405.64,91.4,28.5,201.78,83.96,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
642,S1,0359383_15,Alt2,1/28/2019 10:37,en,1/28/2019 10:31,Female,50-64 years,Married,I prefer not to answer.,,University degree (Fachhochschul-/Universitätsabschluss),3,I prefer not to answer,Pune. India,"Australian
",Yes,no,Car,Car,Car,5,5,3,1,,398.02,67.72,29.31,216.67,84.32,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0
